year,month,day,time_of_day,week,rainfall
2020,5,31,Afternoon,21,0.0
2020,5,31,Evening,21,2.3170000009999985
2020,5,31,Morning,21,0.0
2020,5,31,Night,21,0.20500000200000013
2020,6,1,Afternoon,22,0.0
2020,6,1,Evening,22,0.18500000300000002
2020,6,1,Morning,22,0.0
2020,6,1,Night,22,0.0
2020,6,2,Afternoon,22,0.6600000010000003
2020,6,2,Evening,22,323.04000002900005
2020,6,2,Morning,22,0.28400000100000017
2020,6,2,Night,22,3.3680000039999918
2020,6,3,Afternoon,22,0.0
2020,6,3,Evening,22,1.7440000009999979
2020,6,3,Morning,22,46.33000002400004
2020,6,3,Night,22,119.22899999999993
2020,6,4,Afternoon,22,0.15100000000000002
2020,6,4,Evening,22,0.07400000000000001
2020,6,4,Morning,22,0.018
2020,6,4,Night,22,0.2520000000000001
2020,6,5,Afternoon,22,157.80699999199996
2020,6,5,Evening,22,0.5000000000000001
2020,6,5,Morning,22,0.21300000000000002
2020,6,5,Night,22,0.9790000040000006
2020,6,6,Afternoon,22,14.632000000000003
2020,6,6,Evening,22,0.0
2020,6,6,Morning,22,0.0
2020,6,6,Night,22,8.045000000999998
2020,6,7,Afternoon,22,0.5600000030000002
2020,6,7,Evening,22,1.2540000049999993
2020,6,7,Morning,22,0.0
2020,6,7,Night,22,0.2300000000000001
2020,6,8,Afternoon,23,0.5370000010000002
2020,6,8,Evening,23,1.5770000059999978
2020,6,8,Morning,23,0.2859999990000001
2020,6,8,Night,23,0.4770000040000002
2020,6,9,Afternoon,23,0.2930000000000001
2020,6,9,Evening,23,1.1720000009999987
2020,6,9,Morning,23,0.3860000020000001
2020,6,9,Night,23,0.7150000060000005
2020,6,10,Afternoon,23,0.0
2020,6,10,Evening,23,664.7550000849997
2020,6,10,Morning,23,0.5110000010000001
2020,6,10,Night,23,262.5530000030001
2020,6,11,Afternoon,23,0.0
2020,6,11,Evening,23,0.0
2020,6,11,Morning,23,0.033
2020,6,11,Night,23,5.174999999999993
2020,6,12,Afternoon,23,0.0
2020,6,12,Evening,23,0.063
2020,6,12,Morning,23,0.0
2020,6,12,Night,23,0.0
2020,6,13,Afternoon,23,0.0
2020,6,13,Evening,23,1.153000005
2020,6,13,Morning,23,0.0
2020,6,13,Night,23,0.2120000070000001
2020,6,14,Afternoon,23,0.08500000000000002
2020,6,14,Evening,23,1.0920000030000003
2020,6,14,Morning,23,0.4300000020000002
2020,6,14,Night,23,0.8390000030000005
2020,6,15,Afternoon,24,0.10600000000000001
2020,6,15,Evening,24,1.362000004999998
2020,6,15,Morning,24,0.34000000300000016
2020,6,15,Night,24,0.25700000000000006
2020,6,16,Afternoon,24,0.137000001
2020,6,16,Evening,24,1.4370000009999992
2020,6,16,Morning,24,0.3650000010000001
2020,6,16,Night,24,0.8840000050000006
2020,6,17,Afternoon,24,0.15700000200000003
2020,6,17,Evening,24,1.698000013999997
2020,6,17,Morning,24,0.2230000000000001
2020,6,17,Night,24,0.5540000040000003
2020,6,18,Afternoon,24,0.3400000020000002
2020,6,18,Evening,24,1.1590000050000004
2020,6,18,Morning,24,0.8280000020000005
2020,6,18,Night,24,0.5090000000000003
2020,6,19,Afternoon,24,0.24300000000000002
2020,6,19,Evening,24,1.480000013999996
2020,6,19,Morning,24,1.2160000039999999
2020,6,19,Night,24,0.9600000060000006
2020,6,20,Afternoon,24,0.3470000030000001
2020,6,20,Evening,24,1.2079999999999982
2020,6,20,Morning,24,0.6820000040000004
2020,6,20,Night,24,1.2290000039999982
2020,6,21,Afternoon,24,11.598000001
2020,6,21,Evening,24,3.153000002999998
2020,6,21,Morning,24,1.3090000049999992
2020,6,21,Night,24,1.7740000079999967
2020,6,22,Afternoon,25,0.9150000000000006
2020,6,22,Evening,25,4.866000000999987
2020,6,22,Morning,25,2.165000009999995
2020,6,22,Night,25,1.10000002
2020,6,23,Afternoon,25,151.98999993700016
2020,6,23,Evening,25,0.041999999999999996
2020,6,23,Morning,25,31.36499990100002
2020,6,23,Night,25,2.824000011999988
2020,6,24,Afternoon,25,0.0
